author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/317614658/,Москва,sale,flat,9,29,1,35.0,-1,0,18200000.0,Филевский парк,Береговой проезд,3,Фили,Береговой
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/316797751/,Москва,sale,flat,5,5,2,45.5,-1,0,30000000.0,Басманный,переулок Девяткин,4,Китай-город,
Tekta Group,developer,https://www.cian.ru/sale/flat/301261837/,Москва,sale,flat,15,34,1,29.7,-1,0,17904913.0,Обручевский, Архитектора Власова,,Воронцовская,Ever
CENTURY 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/298534721/,Москва,sale,flat,2,4,3,140.0,-1,0,166440614.0,Мещанский,Рождественский бульвар,10/7С1,Трубная,
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/316419923/,Москва,sale,flat,6,9,3,58.0,-1,0,11700000.0,Солнцево, 50 лет Октября,5,Говорово,
Hutton Development,developer,https://www.cian.ru/sale/flat/305627335/,Москва,sale,flat,4,17,2,110.1,-1,0,,Гагаринский,Ленинский проспект,38Ак1,Ленинский проспект,Lunar
hoomie,real_estate_agent,https://www.cian.ru/sale/flat/317427378/,Москва,sale,flat,6,20,2,68.45,-1,0,27672624.0,Даниловский,Автозаводская ,26/1,Тульская,FORST
ID 154790,real_estate_agent,https://www.cian.ru/sale/flat/317724071/,Москва,sale,flat,15,16,2,52.1,-1,0,12600000.0,Бибирево, Корнейчука,56,Бибирево,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/317636203/,Москва,sale,flat,25,28,3,89.4,-1,0,36850000.0,Филевский парк,Береговой проезд,1Б,Фили,мой адрес На Береговом
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/311352185/,Москва,sale,flat,18,48,3,124.0,-1,0,49990000.0,Хорошево-Мневники,проспект Маршала Жукова,78,Серебряный Бор,Континенталь
PIONEER,developer,https://www.cian.ru/sale/flat/315816606/,Москва,sale,flat,4,11,1,55.8,-1,0,,Даниловский,Дербеневская ,1С5,Павелецкая,"Клубный дом ""OPUS"""
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/316007862/,Москва,sale,flat,4,9,3,186.0,-1,0,279000000.0,Хамовники,Саввинская набережная,13,Киевская,SAVVIN RIVER RESIDENCE
ID 1095838,homeowner,https://www.cian.ru/sale/flat/310554199/,Москва,sale,flat,26,26,2,42.0,-1,0,19150000.0,Головинский,Кронштадтский бульвар,6к1,Водный стадион,Водный
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/315557962/,Москва,sale,flat,2,4,3,140.0,-1,0,166440614.0,Мещанский,Рождественский бульвар,10/7С1,Трубная,
Алексей Рыбаков,realtor,https://www.cian.ru/sale/flat/316621046/,Москва,sale,flat,4,5,2,43.1,-1,0,11200000.0,Измайлово,Измайловский проезд,6К2,Измайловская,
Capital Group,developer,https://www.cian.ru/sale/flat/313575286/,Москва,sale,flat,11,18,3,115.6,-1,0,150117385.0,Дорогомилово,,,Москва-Сити,Бадаевский ЖК
