price,district,underground,street,house_number,floor,floors_count,total_meters,rooms_count,residential_complex,url
16850000.0,,Потапово,бульвар Скандинавский,1к2,13,20,71.5,3,,https://www.cian.ru/sale/flat/317766834/
96705000.0,Раменки,Поклонная,проспект Генерала Дорохова,39к1,8,13,92.1,3,Собрание клубных домов West Garden,https://www.cian.ru/sale/flat/295915768/
,Можайский,Давыдково,,,2,5,31.1,1,Веер ЖК,https://www.cian.ru/sale/flat/317210686/
12500000.0,,Ольховая, Гренадерская,9к3,4,15,59.7,2,"Новые Ватутинки, мкр. Десна",https://www.cian.ru/sale/flat/314716710/
12700000.0,Марьино,Братиславская,Новомарьинская ,16К1,14,16,40.0,1,,https://www.cian.ru/sale/flat/314672030/
46854400.0,Замоскворечье,Павелецкая,Шлюзовая набережная,2/1С1,4,8,48.3,1,Монблан,https://www.cian.ru/sale/flat/314440071/
46000000.0,Хорошево-Мневники,Шелепиха,Шелепихинская набережная,34к5,40,41,66.0,3,Сердце Столицы,https://www.cian.ru/sale/flat/311061249/
45000000.0,Тверской,Маяковская,3-я Тверская-Ямская ,42/8,4,5,60.0,2,,https://www.cian.ru/sale/flat/316217397/
268675000.0,Арбат,Арбатская,Никитский бульвар,6/20,3,8,97.7,2,Никитский-6,https://www.cian.ru/sale/flat/310065847/
34700000.0,Хорошевский,Полежаевская, Полины Осипенко,22К3,17,17,78.0,3,,https://www.cian.ru/sale/flat/316684654/
16500000.0,,Ольховая, 3-я Нововатутинская,2,14,14,84.5,3,"Новые Ватутинки, мкр. Центральный",https://www.cian.ru/sale/flat/312758513/
154088700.0,Хамовники,Спортивная,Новодевичий проезд,6С2,2,9,87.9,2,ДОМ XXII,https://www.cian.ru/sale/flat/315734688/
34700000.0,Хорошевский,Полежаевская, Полины Осипенко,22К3,17,17,78.3,3,,https://www.cian.ru/sale/flat/316826848/
30000000.0,Хорошево-Мневники,Шелепиха,Шелепихинская набережная,34к5,10,41,51.0,2,Сердце Столицы,https://www.cian.ru/sale/flat/314150457/
